Country,Year,Access to Electricity(%),Food Production Index,Population Density,Unemployed Labour(%),"Road Accident Mortality(per 100,000 people)",Electric power consumption(kWh/Capita),GDP Deflator,GDP/Capita($),Literacy Rate Adult,Immunization(Measles %),Immunization(DPT %),Life Expectancy at Birth,Total greenhouse gas emissions (kt of CO2 equivalent),Rural Population(%)
Togo,2000,16.95623488,56.42,90.53881228,4.46,30.1,95.2399132,10.04945674,302.958592,53.17760086,58,64,53.491,5220,67.093
Togo,2001,19.64577484,59.92,93.07907704,4.44,30.4,98.96157506,1.634053476,292.8231035,53.17760086,40,50,53.554,4990,66.644
Togo,2002,21.4203186,60.45,95.55138812,4.48,30.8,96.20861106,5.027855563,328.3981073,53.17760086,48,59,53.71,5470,66.191
Togo,2003,23.18539619,61.41,98.00751976,4.48,30.9,102.9897222,-2.893106987,396.9205798,53.17760086,68,72,53.938,6130,65.735
Togo,2004,24.93983459,63.18,100.5289575,4.43,31,107.3563811,-1.907888967,413.3298662,53.17760086,70,71,54.234,5900,65.276
Togo,2005,26.68261147,68.73,103.174168,4.36,30.9,109.4153709,5.876157758,406.562366,53.17760086,70,82,54.602,6810,64.815
Togo,2006,27.9,73.69,105.9547895,4.23,31.2,108.4526993,-0.508763227,408.0571173,56.88837051,78,84,55.052,6250,64.351
Togo,2007,30.14684677,75.36,108.8501563,3.6,31.1,102.3586404,4.968710522,449.7382505,56.88837051,71,82,55.581,5940,63.884
Togo,2008,31.88062286,83,111.8480787,3.08,31.3,104.8752699,11.77617619,546.3503702,56.88837051,63,81,56.178,6270,63.413
Togo,2009,33.62382126,89.51,114.9262732,2.8,31.3,124.1433151,1.58465881,540.6087126,57.09337997,66,78,56.818,7710,62.942
Togo,2010,30.79174368,90.26,118.0671815,2.39,31.1,124.1109405,0.634747308,534.0447826,57.09337997,68,83,57.468,7540,62.467
Togo,2011,39.7,97.44,121.2711712,1.98,31.1,134.7799002,1.076927823,587.0974928,60.40993881,72,85,58.092,8000,61.968
Togo,2012,38.97059631,93.82,124.5414047,2.05,30.6,144.3796672,1.709565398,571.8067239,60.40993881,72,84,58.661,7480,61.454
Togo,2013,40.80187988,87.91,127.8676411,2.12,30.7,144.3623691,1.717859845,621.3988536,60.40993881,72,84,59.16,7320,60.939
Togo,2014,45.7,102.78,131.2373047,2.16,30.3,154.6652373,-0.084209157,640.9342196,60.40993881,77,84,59.58,7050,60.421
Trinidad and Tobago,2000,91.29,115,247.0095517,3.61,13.6,3993.184754,12.04315306,6435.134212,97.90000153,90,90,69.413,15970,44.095
Trinidad and Tobago,2001,96.63881683,114.26,247.8805068,3.66,16.1,4101.831748,2.793947635,6939.828471,97.90000153,91,91,69.65,17110,44.282
Trinidad and Tobago,2002,96.89418793,138.82,248.9688109,3.69,15,4083.901629,-5.192534917,7053.087371,97.90000153,87,96,69.903,17810,44.47
Trinidad and Tobago,2003,97.14009857,121.76,250.2074074,3.72,20.3,4771.869576,10.47856143,8807.866068,97.90000153,88,91,70.164,17160,44.657
Trinidad and Tobago,2004,97.37535858,117.33,251.4844055,3.8,17.9,4698.80592,8.884224705,10293.86925,97.90000153,95,94,70.428,17910,44.845
